Letter,Tags
b,"Consonant, Bilabial, Voiced, Plosive"
\[Beta],"Consonant, Voiced, Bilabial, Fricative"
d,"Consonant, Voiced, Alveolar, Dental, Plosive"
ð,"Consonant, Dental, Voiced"
f,"Consonant, Voiceless, Labiodental, Fricative"
g,"Consonant, Voiced, Velar, Plosive"
ɣ,"Consonant, Voiced, Velar, Fricative"
ʝ,"Consonant, Voiced, Palatal, Fricative"
ɟ,"Consonant, Voiced, Palatal, Plosive"
k,"Consonant, Voiceless, Velar, Plosive"
l,"Consonant, Voiced, Alveolar, Lateral Approximant"
ʎ,"Consonant, Voiced, Palatal, Lateral Approximant"
m,"Consonant, Voiced, Bilabial, Nasal"
ɱ,"Consonant, Voiced, Labiodental, Nasal"
n,"Consonant, Voiced, Alveolar, Nasal"
ɲ,"Consonant, Voiced, Palatal, Nasal"
ŋ,"Consonant, Voiced, Velar, Nasal"
p,"Consonant, Voiceless, Plosive, Bilabial"
r,"Consonant, Voiced, Alveolar, Trill"
ɾ,"Consonant, Voiced, Alveolar, Tap"
s,"Consonant, Voiceless, Alveolar, Fricative"
\[Theta],"Consonant, Voiceless, Dental, non-sibilant, fricative"
t,"Consonant, Voiceless, Alveolar, Dental, Plosive"
v,"Consonant, Voiced, Labiodental, non-sibilant, fricative"
x,"Consonant, Voiceless, Velar, non-sibilant, fricative"
z,"Consonant, Voiceless, Alveolar, Fricative"
a,"Vowel,  open, front, unrounded"
e,"close-mid, front, unrounded, vowel"
i,"close, front, unrounded, vowel"
o,"close-mid, back, rounded, vowel"
u,"close, back, rounded, vowel"
j,"Consonant, Voiced, Palatal, Approximant"
w,"Consonant, Voiced, labial–velar, Approximant"
ʃ,"Consonant, Voiceless, postalveolar, fricative"
h,"Consonant, Voiceless, Glottal, Fricative"
ʒ,"Consonant, Voiced, postalveolar, fricative"
ɑ,"open, back, unrounded, vowel"
ɒ,"open, back, rounded, vowel"
æ,"near-open, front, unrounded, vowel"
ɪ,"near-close, front, unrounded, vowel"
ɛ,"open-mid, front, unrounded, vowel"
ɔ,"open-mid, back, rounded, vowel"
ʊ,"near-close, near-back, rounded, vowel"
ʌ,"open-mid, back, unrounded, vowel"
ə,"mid, central, vowel"
ʋ,"Consonant, voiced, labiodental, approximant"
ø,"close-mid, front, rounded, vowel"
y,"close, front, rounded, vowel"
ʂ,"Consonant, voiceless, retroflex, sibilant, fricative"
ʐ,"Consonant, voiced, retroflex, sibilant, fricative"
ʑ,"Consonant, voiced, alveolo-palatal, Palatal, sibilant, fricative"
ɕ,"Consonant, voiceless, alveolo-palatal, Palatal, sibilant, fricative"
ɨ,"close, central, unrounded, vowel"
ɵ,"close-mid, central, rounded, vowel"
ʉ,"close, central, rounded, vowel"
ɐ,"near-open, central, vowel"
ç,"Consonant, voiceless, palatal, fricative"
ʁ,"Consonant, voiced, uvular, fricative"
ɹ,"Consonant, voiced, alveolar, approximant"
c,"Consonant, palatal,plosive, voiceless"
q,"Consonant, voiceless, uvular, plosive"
ɜ,"open-mid, central, unrounded, vowel"
ɡ,"Consonant, voiced, velar, plosive"
ɦ,"Consonant,  voiced, glottal, fricative"
ʏ,"near-close, front, rounded, vowel"
